date,username,tweet,label
2023-03-30 23:53:05+00:00,nusabalicom,Insan Sepak Bola Bali Ungkapkan Rasa Kecewa https://t.co/GtFDQD4Z56 #Sepakbola #beritabola #beritaolahraga #nusabali #PSSI #pialaduniau20,3
2023-03-30 23:40:53+00:00,rendytriawan88,Terima kasih untuk semua pihak yang telah berjuang untuk sepakbola Indonesia #terimakasih #sepakbolaindonesia #erickthohir #menteriterbaik #ketuapssi #pssi #fifa #fifaworldcupU20 #andovi #jovi #najwashihab https://t.co/FIMlCvFEKx,3
2023-03-30 23:29:56+00:00,RoketIndo,"Kerja! Kerja! Kerja!
Tanpa mengenal lelah selalu bergerak maju membawa #BUMN kearah yang lebih baik ..

Walau sedang dalam cobaan di #PSSI tapi kami yakin , bapak dapat membawa sepakbola Indonesia kearah yang lebih baik

#KerjaSatsET #TimnasIndonesia #PialaDuniaU20 #FIFA https://t.co/OBY01eEZCG",3
2023-03-30 23:26:34+00:00,amoysh,Benang kusut....😏 #pialaduniau20 #WorldCup2023 #FIFA #kanjuruhan #sepakbola #pssi #football https://t.co/MlUynkvDZu,1
2023-03-30 23:23:40+00:00,Pulpendid,"Pesan Presiden Joko Widodo setelah FIFA membatalkan Indonesia sebagai tuan rumah Piala Dunia U-20.

Pesan Presiden Joko Widodo setelah FIFA membatalkan Indonesia sebagai tuan rumah Piala Dunia U-20.

 #jokowi #sepakbola #pssi #pialaduniau20 https://t.co/vMxdoDn9Ap",2
2023-03-30 23:22:37+00:00,suhmind,"ada yang batal tapi bukan puasa, Ganjar merasa kecewa. Enteng ngomongnya ya pak..
#PSSI #Ganjar #Israel #u20 https://t.co/7iWm4gAGF1",1
2023-03-30 23:21:54+00:00,tegarwadesta,Terima kasih telah berjuang demi sepakbola Indonesia Pak Erick Thohir #erickthohir #sepakbolaindonesia #erickthohirsolusirakyat #menteriterbaik #ketuapssi #pssi #fifaworldcupU20 #pialaduniau20 https://t.co/9BU9EGgL7L,3
2023-03-30 23:03:32+00:00,ariefalay66,Terimakasih Erick Thohir yang sudah berjuang untuk sepakbola Indonesia #erickthohirwapres #erickthohir #ketuapssi #menteriterbaik #erickthohirsolusirakyat #pssi #fifaworldcupU20 #pialaduniau20 https://t.co/VPBWfNdSl9,3
2023-03-30 22:59:04+00:00,kasatyo,"Batal Tuan Rumah PD U-20, Indonesia Mungkin Disanksi FIFA Tak Ikut Kualifikasi Piala Dunia 2026 https://t.co/OMCIW6SxML
#PialaDuniaBatalKarnaIni #pialaduniau20 #PialaDuniaU20Indonesia #pialaduniau20harussukses #PSSI #ErickThohir #FIFA #Israel",2
2023-03-30 22:58:04+00:00,Beritabaruco,"Jika Tidak Kena Sanksi FIFA, Indonesia Berada di Pot 4 Piala Asia 2023 https://t.co/HHrB8sCJmD #FIFA #PDIP #PialaAsia2023 #PialaDuniaU20 #PSSI https://t.co/o0QNv2QhO0",2
2023-03-30 22:47:01+00:00,murianewscom,"Karangan Bunga Memenuhi Halaman  Kantor PSSI 

Selengkapnya Klik Tautan Berikut ini 
#InfoOlahraga #PialaduniaU20 #indonesia2023 #KantorPSSI #PSSI #Karanganbunga
 https://t.co/pRJ0yW9LEk",3
2023-03-30 22:35:55+00:00,IdChannel9,"Segini Biaya yang Sudah Dikeluarkan Pemerintah untuk Piala Dunia, Nilainya Fantastis!...
#FIFAU20 
#FIFA
#PSSI 
#Indonesia 
#pialaduniau20 

https://t.co/V3enM1mwtm",2
2023-03-30 22:28:22+00:00,jahyantomaripik,"tetap berdiri dengan kepala tegak 
#PSSI https://t.co/zOu95vHvQ3",3
2023-03-30 22:27:56+00:00,lazwardi27,"Codashop lagi bagi bagi diamond gratis nih guys khusus di bulan ramadhan aja, lumayan kan diamondnya bisa buat spin²!!!

Untuk linknya ada di bio ya👌👌

#FreeFire #codashop #GamersUnite #Ganjar #Israel #Palestine #PDIP #PialaDuniaBatalKarnaIni #PSSI https://t.co/rMrvYJFjRT",2
2023-03-30 22:21:21+00:00,uraridho,@erickthohir Kalo dipikir2 saya pribadi hnya emosi sesaat dan nyata nya klo dicermati fifa jg sudah sering bikin kontroversi pd keputusannya lucunya kl ini fifa sudah tau jauh2 hr bahwa Indonesia ada kejadian kanjuruhan dan israel tp bersikap tanpa kompromi dan prediksi. Save #PSSI #Erick,1
2023-03-30 22:18:38+00:00,harianganjar,"Ambil sisi positif ! Ganjar berkaca pada komitmen pendiri bangsa Indonesia yaitu Bung Karno terhadap Palestina.

#ganjarpranowo #Ganjar  #pilpres2024 #pemiluserentak2024 #jateng #jawatengah #pssi #fifa #israel #palestina #indonesia #pialaduniau20 #soekarno https://t.co/BAERUCm8FK",3
2023-03-30 22:14:48+00:00,nuelpabloo,Tolong 2 orang ini dikasih sanksi karena jadi penyebab Indonesia gagal menjadi tuan rumah piala dunia u20. Meskipun Indonesia gagal menjadi jadi tuan rumah setidaknya 2 orang ini diberikan hukuman yang setimpal.  #TimnasU20 @erickthohir @jokowi #Ganjar #PSSI #IndonesiaDiBanFIFA https://t.co/tCaaKyIUF4,1
2023-03-30 22:09:30+00:00,DepokTodayCom,"PDIP Dihujat Usai Indonesia Gagal Jadi Tuan Rumah Piala Dunia, Putra Nababan: Risiko Sampaikan Kebenaran https://t.co/7Oop46OjJM

#PutraNababan #PialaDuniaBatalKarnaIni #pialaduniau20 #PialaDuniaU20Indonesia #PSSI #depok #PDIP",2
2023-03-30 22:08:17+00:00,DepokTodayCom,"Piala Dunia U-20 Resmi Batal, PSSI Kini Pikirkan Sanksi FIFA yang bakal Diterima  https://t.co/ZfgSI7zaX6

#PSSI #PialaDuniaBatalKarnaIni #pialaduniau20 #PialaDuniaU20Indonesia #sanksi #FIFA",1
2023-03-30 22:05:07+00:00,DepokTodayCom,"Piala Dunia U-20 Indonesia Batal, Kadek Arel: Terkubur Sudah Mimpi Kita Semua https://t.co/rCC3UW2E7u

#PialaDuniaBatalKarnaIni #pialaduniau20 #PialaDuniaU20Indonesia #depok #PSSI #Indonesia",2
2023-03-30 22:04:08+00:00,uraridho,@FaktaSepakbola Kalo dipikir2 saya pribadi hnya emosi sesaat dan nyata nya klo dicermati fifa jg sudah sering bikin kontroversi pd keputusannya lucunya kl ini fifa sudah tau jauh2 hr bahwa Indonesia ada kejadian kanjuruhan dan israel tp bersikap tanpa kompromi dan prediksi. Save #PSSI #Ganjar,1
